t1,t2,s1,s2,n1,n2
0,9.0,29,19.0,29,370.0
9,18.0,19,15.0,370,717.0
18,27.0,15,14.0,717,1067.0
27,28.0,14,14.0,1067,1106.0
28,29.0,14,14.0,1106,1145.0
29,37.0,14,13.0,1145,1456.0
37,44.0,13,18.0,1456,1734.0
44,50.0,18,29.0,1734,1979.0
50,59.0,29,19.0,1979,2320.0
59,68.0,19,15.0,2320,2667.0
68,77.0,15,14.0,2667,3017.0
77,78.0,14,14.0,3017,3056.0
78,79.0,14,14.0,3056,3095.0
79,87.0,14,13.0,3095,3406.0
87,94.0,13,18.0,3406,3684.0
94,100.0,18,29.0,3684,3929.0
100,109.0,29,19.0,3929,4270.0
109,118.0,19,15.0,4270,4617.0
118,127.0,15,14.0,4617,4967.0
127,128.0,14,14.0,4967,5006.0
128,129.0,14,14.0,5006,5045.0
129,137.0,14,13.0,5045,5356.0
137,144.0,13,18.0,5356,5634.0
144,150.0,18,29.0,5634,5879.0
