r,d,t1,t2,s1,s2,n1,n2
30,2,45,49.0,1,4.0,1756,1915.0
30,2,49,54.0,4,6.0,1915,2112.0
31,2,45,49.0,1,4.0,1756,1915.0
31,2,49,54.0,4,6.0,1915,2112.0
33,0,17,22.0,1,24.0,664,882.0
37,4,10,15.0,1,36.0,391,621.0
37,4,15,22.0,36,5.0,621,863.0
37,4,22,29.0,5,30.0,863,1161.0
37,4,29,36.0,30,31.0,1161,1435.0
38,4,9.0,10.0,1.0,1.0,352.0,391.0
42,2,32,37.0,2,10.0,1250,1453.0
42,2,37,40.0,10,36.0,1453,1596.0
42,2,40,45.0,36,1.0,1596,1756.0
42,2,45,49.0,1,4.0,1756,1915.0
42,2,49,54.0,4,6.0,1915,2112.0
43,2,32,37.0,2,10.0,1250,1453.0
43,2,37,40.0,10,36.0,1453,1596.0
43,2,40,45.0,36,1.0,1596,1756.0
43,2,45,49.0,1,4.0,1756,1915.0
43,2,49,54.0,4,6.0,1915,2112.0
44,2,32,37.0,2,10.0,1250,1453.0
44,2,37,40.0,10,36.0,1453,1596.0
44,2,40,45.0,36,1.0,1596,1756.0
44,2,45,49.0,1,4.0,1756,1915.0
44,2,49,54.0,4,6.0,1915,2112.0
45,2,32,37.0,2,10.0,1250,1453.0
45,2,37,40.0,10,36.0,1453,1596.0
45,2,40,45.0,36,1.0,1596,1756.0
45,2,45,49.0,1,4.0,1756,1915.0
45,2,49,54.0,4,6.0,1915,2112.0
46,2,32,37.0,2,10.0,1250,1453.0
46,2,37,40.0,10,36.0,1453,1596.0
46,2,40,45.0,36,1.0,1596,1756.0
46,2,45,49.0,1,4.0,1756,1915.0
46,2,49,54.0,4,6.0,1915,2112.0
47,2,32,37.0,2,10.0,1250,1453.0
47,2,37,40.0,10,36.0,1453,1596.0
47,2,40,45.0,36,1.0,1596,1756.0
47,2,45,49.0,1,4.0,1756,1915.0
47,2,49,54.0,4,6.0,1915,2112.0
48,2,32,37.0,2,10.0,1250,1453.0
48,2,37,40.0,10,36.0,1453,1596.0
48,2,40,45.0,36,1.0,1596,1756.0
48,2,45,49.0,1,4.0,1756,1915.0
48,2,49,54.0,4,6.0,1915,2112.0
49,2,32,37.0,2,10.0,1250,1453.0
49,2,37,40.0,10,36.0,1453,1596.0
49,2,40,45.0,36,1.0,1596,1756.0
49,2,45,49.0,1,4.0,1756,1915.0
49,2,49,54.0,4,6.0,1915,2112.0
50,2,32,37.0,2,10.0,1250,1453.0
50,2,37,40.0,10,36.0,1453,1596.0
50,2,40,45.0,36,1.0,1596,1756.0
50,2,45,49.0,1,4.0,1756,1915.0
50,2,49,54.0,4,6.0,1915,2112.0
51,2,32,37.0,2,10.0,1250,1453.0
51,2,37,40.0,10,36.0,1453,1596.0
51,2,40,45.0,36,1.0,1596,1756.0
51,2,45,49.0,1,4.0,1756,1915.0
51,2,49,54.0,4,6.0,1915,2112.0
104,2,49,54.0,4,6.0,1915,2112.0
105,0,13,17.0,4,1.0,511,664.0
105,1,17,22.0,1,24.0,664,882.0
105,0,22,26.0,24,23.0,882,1037.0
105,1,26,30.0,23,6.0,1037,1176.0
105,0,30,34.0,6,20.0,1176,1346.0
106,0,13,17.0,4,1.0,511,664.0
