r,d
104,0
129,0
137,0
138,0
170,0
171,0
620,0
33,1
104,1
106,1
613,1
620,1
621,1
638,1
30,2
31,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
127,2
128,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
592,2
715,2
5,3
6,3
15,3
21,3
105,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
212,4
627,4
628,4
630,4
631,4
640,4
37,5
103,5
122,5
124,5
125,5
126,5
129,5
136,5
137,5
138,5
139,5
169,5
610,5
611,5
612,5
613,5
620,5
621,5
685,5
686,5
687,5
688,5
704,5
733,5
734,5
735,5
736,5
737,5
738,5
739,5
0,6
1,6
2,6
3,6
4,6
16,6
206,6
207,6
208,6
213,6
636,6
637,6
38,7
103,7
122,7
123,7
169,7
170,7
171,7
683,7
733,7
734,7
735,7
736,7
737,7
738,7
739,7
Matching Rate: 0.13829787234042554
