r,d,t1,t2,s1,s2,n1,n2
0,6,10,14,0,26,390,572
0,6,14,16,26,3,572,627
0,6,16,21,3,8,627,827
0,6,21,26,8,24,827,1038
0,6,26,31,24,1,1038,1210
1,6,10,14,0,26,390,572
1,6,14,16,26,3,572,627
1,6,16,21,3,8,627,827
1,6,21,26,8,24,827,1038
1,6,26,31,24,1,1038,1210
2,6,10,14,0,26,390,572
2,6,14,16,26,3,572,627
2,6,16,21,3,8,627,827
2,6,21,26,8,24,827,1038
2,6,26,31,24,1,1038,1210
3,6,10,14,0,26,390,572
3,6,14,16,26,3,572,627
3,6,16,21,3,8,627,827
3,6,21,26,8,24,827,1038
3,6,26,31,24,1,1038,1210
4,6,10,14,0,26,390,572
4,6,14,16,26,3,572,627
5,3,16,24,0,25,624,961
5,3,24,30,25,6,961,1176
6,3,16,24,0,25,624,961
6,3,24,30,25,6,961,1176
15,3,52,64,0,31,2028,2527
15,3,64,68,31,20,2527,2672
16,6,10,14,0,26,390,572
16,6,14,16,26,3,572,627
16,6,16,21,3,8,627,827
16,6,21,26,8,24,827,1038
21,3,52,64,0,31,2028,2527
30,2,45,49,1,4,1756,1915
30,2,49,54,4,6,1915,2112
31,2,45,49,1,4,1756,1915
31,2,49,54,4,6,1915,2112
33,1,17,22,1,24,664,882
34,8,9,14,1,24,352,570
34,8,14,20,24,28,570,808
35,8,9,14,1,24,352,570
35,8,14,20,24,28,570,808
36,8,9,14,1,24,352,570
36,8,14,20,24,28,570,808
37,5,15,18,1,21,586,723
37,5,18,22,21,5,723,863
37,5,22,29,5,30,863,1161
37,5,29,36,30,31,1161,1435
38,7,13,18,1,36,508,738
38,7,18,22,36,35,738,893
42,2,32,37,2,10,1250,1453
42,2,37,40,10,36,1453,1596
42,2,40,45,36,1,1596,1756
42,2,45,49,1,4,1756,1915
42,2,49,54,4,6,1915,2112
43,2,32,37,2,10,1250,1453
43,2,37,40,10,36,1453,1596
43,2,40,45,36,1,1596,1756
43,2,45,49,1,4,1756,1915
43,2,49,54,4,6,1915,2112
44,2,32,37,2,10,1250,1453
44,2,37,40,10,36,1453,1596
44,2,40,45,36,1,1596,1756
44,2,45,49,1,4,1756,1915
44,2,49,54,4,6,1915,2112
45,2,32,37,2,10,1250,1453
45,2,37,40,10,36,1453,1596
45,2,40,45,36,1,1596,1756
45,2,45,49,1,4,1756,1915
45,2,49,54,4,6,1915,2112
46,2,32,37,2,10,1250,1453
46,2,37,40,10,36,1453,1596
46,2,40,45,36,1,1596,1756
46,2,45,49,1,4,1756,1915
46,2,49,54,4,6,1915,2112
47,2,32,37,2,10,1250,1453
47,2,37,40,10,36,1453,1596
47,2,40,45,36,1,1596,1756
47,2,45,49,1,4,1756,1915
47,2,49,54,4,6,1915,2112
48,2,32,37,2,10,1250,1453
48,2,37,40,10,36,1453,1596
48,2,40,45,36,1,1596,1756
48,2,45,49,1,4,1756,1915
48,2,49,54,4,6,1915,2112
49,2,32,37,2,10,1250,1453
49,2,37,40,10,36,1453,1596
49,2,40,45,36,1,1596,1756
49,2,45,49,1,4,1756,1915
49,2,49,54,4,6,1915,2112
50,2,32,37,2,10,1250,1453
50,2,37,40,10,36,1453,1596
50,2,40,45,36,1,1596,1756
50,2,45,49,1,4,1756,1915
50,2,49,54,4,6,1915,2112
51,2,32,37,2,10,1250,1453
51,2,37,40,10,36,1453,1596
51,2,40,45,36,1,1596,1756
51,2,45,49,1,4,1756,1915
51,2,49,54,4,6,1915,2112
103,7,9,13,4,1,355,508
103,9,13,14,1,1,508,547
103,9,14,15,1,1,547,586
103,5,15,18,1,21,586,723
103,5,18,22,21,5,723,863
104,1,13,17,4,1,511,664
104,1,17,22,1,24,664,882
104,1,22,26,24,23,882,1037
104,1,26,30,23,6,1037,1176
104,1,30,34,6,20,1176,1346
105,4,11,16,4,24,433,648
106,4,11,16,4,24,433,648
107,4,11,16,4,24,433,648
107,4,16,22,24,28,648,886
108,4,11,16,4,24,433,648
108,4,16,22,24,28,648,886
109,4,11,16,4,24,433,648
109,4,16,22,24,28,648,886
110,4,11,16,4,24,433,648
110,4,16,22,24,28,648,886
111,4,11,16,4,24,433,648
111,4,16,22,24,28,648,886
112,4,11,16,4,24,433,648
112,4,16,22,24,28,648,886
113,4,11,16,4,24,433,648
113,4,16,22,24,28,648,886
114,4,11,16,4,24,433,648
114,4,16,22,24,28,648,886
115,4,11,16,4,24,433,648
115,4,16,22,24,28,648,886
116,4,11,16,4,24,433,648
116,4,16,22,24,28,648,886
117,4,11,16,4,24,433,648
117,4,16,22,24,28,648,886
118,4,11,16,4,24,433,648
118,4,16,22,24,28,648,886
119,4,11,16,4,24,433,648
119,4,16,22,24,28,648,886
120,4,11,16,4,24,433,648
120,4,16,22,24,28,648,886
121,4,11,16,4,24,433,648
121,4,16,22,24,28,648,886
122,7,9,13,4,1,355,508
122,7,13,18,1,36,508,738
122,7,18,22,36,35,738,893
122,7,22,29,35,30,893,1161
123,7,9,13,4,1,355,508
123,7,13,18,1,36,508,738
123,7,18,22,36,35,738,893
124,5,8,12,5,21,317,489
124,5,12,15,21,1,489,586
125,5,8,12,5,21,317,489
125,5,12,15,21,1,489,586
126,5,8,12,5,21,317,489
126,5,12,15,21,1,489,586
127,2,16,23,5,35,629,932
127,2,23,27,35,10,932,1063
127,2,27,32,10,2,1063,1250
128,2,16,23,5,35,629,932
128,2,23,27,35,10,932,1063
128,2,27,32,10,2,1063,1250
129,5,8,12,5,21,317,489
129,5,12,15,21,1,489,586
129,9,15,16,1,1,586,625
129,9,16,17,1,1,625,664
129,0,17,22,1,24,664,882
129,0,22,26,24,23,882,1037
129,0,26,30,23,6,1037,1176
136,5,22,29,5,30,863,1161
136,7,29,30,30,30,1161,1200
136,9,30,31,30,30,1200,1239
