r,d,t1,t2,s1,s2,n1,n2
0,6,10.0,14.0,0.0,26.0,390.0,572.0
0,6,14,16.0,26,3.0,572,627.0
0,6,16,21.0,3,8.0,627,827.0
0,6,21,26.0,8,24.0,827,1038.0
0,5,26,31.0,24,1.0,1038,1210.0
1,6,10.0,14.0,0.0,26.0,390.0,572.0
1,6,14,16.0,26,3.0,572,627.0
1,6,16,21.0,3,8.0,627,827.0
1,6,21,26.0,8,24.0,827,1038.0
1,5,26,31.0,24,1.0,1038,1210.0
2,6,10.0,14.0,0.0,26.0,390.0,572.0
2,6,14,16.0,26,3.0,572,627.0
2,6,16,21.0,3,8.0,627,827.0
2,6,21,26.0,8,24.0,827,1038.0
2,5,26,31.0,24,1.0,1038,1210.0
3,6,10.0,14.0,0.0,26.0,390.0,572.0
3,6,14,16.0,26,3.0,572,627.0
3,6,16,21.0,3,8.0,627,827.0
3,6,21,26.0,8,24.0,827,1038.0
3,5,26,31.0,24,1.0,1038,1210.0
4,6,10.0,14.0,0.0,26.0,390.0,572.0
4,6,14,16.0,26,3.0,572,627.0
5,6,10.0,14.0,0.0,26.0,390.0,572.0
5,6,14,16.0,26,3.0,572,627.0
5,6,16,21.0,3,8.0,627,827.0
5,6,21,26.0,8,24.0,827,1038.0
5,6,26,31.0,24,4.0,1038,1213.0
5,7,31,32.0,4,4.0,1213,1252.0
5,7,32,33.0,4,4.0,1252,1291.0
5,7,33,34.0,4,4.0,1291,1330.0
5,7,34,35.0,4,4.0,1330,1369.0
5,7,35,36.0,4,4.0,1369,1408.0
5,7,36,37.0,4,4.0,1408,1447.0
5,7,37,38.0,4,4.0,1447,1486.0
5,7,38,39.0,4,4.0,1486,1525.0
5,7,39,40.0,4,4.0,1525,1564.0
5,7,40,41.0,4,4.0,1564,1603.0
5,7,41,42.0,4,4.0,1603,1642.0
5,7,42,43.0,4,4.0,1642,1681.0
5,7,43,44.0,4,4.0,1681,1720.0
5,7,44,45.0,4,4.0,1720,1759.0
5,7,45,46.0,4,4.0,1759,1798.0
5,7,46,47.0,4,4.0,1798,1837.0
5,7,47,48.0,4,4.0,1837,1876.0
5,7,48,49.0,4,4.0,1876,1915.0
5,2,49,54.0,4,6.0,1915,2112.0
6,6,10.0,14.0,0.0,26.0,390.0,572.0
6,6,14,16.0,26,3.0,572,627.0
6,6,16,21.0,3,8.0,627,827.0
6,6,21,26.0,8,24.0,827,1038.0
6,6,26,31.0,24,4.0,1038,1213.0
6,7,31,32.0,4,4.0,1213,1252.0
6,7,32,33.0,4,4.0,1252,1291.0
6,7,33,34.0,4,4.0,1291,1330.0
6,7,34,35.0,4,4.0,1330,1369.0
6,7,35,36.0,4,4.0,1369,1408.0
6,7,36,37.0,4,4.0,1408,1447.0
6,7,37,38.0,4,4.0,1447,1486.0
6,7,38,39.0,4,4.0,1486,1525.0
6,7,39,40.0,4,4.0,1525,1564.0
6,7,40,41.0,4,4.0,1564,1603.0
6,7,41,42.0,4,4.0,1603,1642.0
6,7,42,43.0,4,4.0,1642,1681.0
6,7,43,44.0,4,4.0,1681,1720.0
6,7,44,45.0,4,4.0,1720,1759.0
6,7,45,46.0,4,4.0,1759,1798.0
6,7,46,47.0,4,4.0,1798,1837.0
6,7,47,48.0,4,4.0,1837,1876.0
6,7,48,49.0,4,4.0,1876,1915.0
6,2,49,54.0,4,6.0,1915,2112.0
15,6,10.0,14.0,0.0,26.0,390.0,572.0
15,6,14,16.0,26,3.0,572,627.0
15,6,16,21.0,3,8.0,627,827.0
15,6,21,26.0,8,24.0,827,1038.0
15,6,26,31.0,24,4.0,1038,1213.0
15,6,31,36.0,4,6.0,1213,1410.0
15,6,36,40.0,6,20.0,1410,1580.0
16,6,10.0,14.0,0.0,26.0,390.0,572.0
16,6,14,16.0,26,3.0,572,627.0
16,6,16,21.0,3,8.0,627,827.0
16,6,21,26.0,8,24.0,827,1038.0
30,2,45,49.0,1,4.0,1756,1915.0
30,2,49,54.0,4,6.0,1915,2112.0
31,2,45,49.0,1,4.0,1756,1915.0
31,2,49,54.0,4,6.0,1915,2112.0
33,0,17,22.0,1,24.0,664,882.0
37,4,10,15.0,1,36.0,391,621.0
37,4,15,22.0,36,5.0,621,863.0
37,4,22,29.0,5,30.0,863,1161.0
37,4,29,36.0,30,31.0,1161,1435.0
38,4,9.0,10.0,1.0,1.0,352.0,391.0
42,2,32,37.0,2,10.0,1250,1453.0
42,2,37,40.0,10,36.0,1453,1596.0
42,2,40,45.0,36,1.0,1596,1756.0
42,2,45,49.0,1,4.0,1756,1915.0
42,2,49,54.0,4,6.0,1915,2112.0
43,2,32,37.0,2,10.0,1250,1453.0
43,2,37,40.0,10,36.0,1453,1596.0
43,2,40,45.0,36,1.0,1596,1756.0
43,2,45,49.0,1,4.0,1756,1915.0
43,2,49,54.0,4,6.0,1915,2112.0
44,2,32,37.0,2,10.0,1250,1453.0
44,2,37,40.0,10,36.0,1453,1596.0
44,2,40,45.0,36,1.0,1596,1756.0
44,2,45,49.0,1,4.0,1756,1915.0
44,2,49,54.0,4,6.0,1915,2112.0
45,2,32,37.0,2,10.0,1250,1453.0
45,2,37,40.0,10,36.0,1453,1596.0
45,2,40,45.0,36,1.0,1596,1756.0
45,2,45,49.0,1,4.0,1756,1915.0
45,2,49,54.0,4,6.0,1915,2112.0
46,2,32,37.0,2,10.0,1250,1453.0
46,2,37,40.0,10,36.0,1453,1596.0
46,2,40,45.0,36,1.0,1596,1756.0
46,2,45,49.0,1,4.0,1756,1915.0
46,2,49,54.0,4,6.0,1915,2112.0
47,2,32,37.0,2,10.0,1250,1453.0
47,2,37,40.0,10,36.0,1453,1596.0
47,2,40,45.0,36,1.0,1596,1756.0
47,2,45,49.0,1,4.0,1756,1915.0
47,2,49,54.0,4,6.0,1915,2112.0
48,2,32,37.0,2,10.0,1250,1453.0
48,2,37,40.0,10,36.0,1453,1596.0
48,2,40,45.0,36,1.0,1596,1756.0
48,2,45,49.0,1,4.0,1756,1915.0
48,2,49,54.0,4,6.0,1915,2112.0
49,2,32,37.0,2,10.0,1250,1453.0
49,2,37,40.0,10,36.0,1453,1596.0
49,2,40,45.0,36,1.0,1596,1756.0
49,2,45,49.0,1,4.0,1756,1915.0
49,2,49,54.0,4,6.0,1915,2112.0
50,2,32,37.0,2,10.0,1250,1453.0
50,2,37,40.0,10,36.0,1453,1596.0
50,2,40,45.0,36,1.0,1596,1756.0
50,2,45,49.0,1,4.0,1756,1915.0
50,2,49,54.0,4,6.0,1915,2112.0
51,2,32,37.0,2,10.0,1250,1453.0
51,2,37,40.0,10,36.0,1453,1596.0
51,2,40,45.0,36,1.0,1596,1756.0
51,2,45,49.0,1,4.0,1756,1915.0
51,2,49,54.0,4,6.0,1915,2112.0
101,6,16,21.0,3,8.0,627,827.0
101,6,21,26.0,8,24.0,827,1038.0
101,6,26,31.0,24,4.0,1038,1213.0
104,2,49,54.0,4,6.0,1915,2112.0
105,0,13,17.0,4,1.0,511,664.0
105,0,17,22.0,1,24.0,664,882.0
105,0,22,26.0,24,23.0,882,1037.0
105,0,26,30.0,23,6.0,1037,1176.0
105,0,30,34.0,6,20.0,1176,1346.0
106,0,13,17.0,4,1.0,511,664.0
106,0,17,22.0,1,24.0,664,882.0
107,0,13,17.0,4,1.0,511,664.0
107,0,17,22.0,1,24.0,664,882.0
108,5,9,14.0,4,24.0,355,570.0
108,5,14,20.0,24,28.0,570,808.0
109,5,9,14.0,4,24.0,355,570.0
109,5,14,20.0,24,28.0,570,808.0
110,5,9,14.0,4,24.0,355,570.0
110,5,14,20.0,24,28.0,570,808.0
111,5,9,14.0,4,24.0,355,570.0
111,5,14,20.0,24,28.0,570,808.0
112,5,9,14.0,4,24.0,355,570.0
112,5,14,20.0,24,28.0,570,808.0
113,5,9,14.0,4,24.0,355,570.0
113,5,14,20.0,24,28.0,570,808.0
114,5,9,14.0,4,24.0,355,570.0
114,5,14,20.0,24,28.0,570,808.0
115,5,9,14.0,4,24.0,355,570.0
115,5,14,20.0,24,28.0,570,808.0
116,5,9,14.0,4,24.0,355,570.0
116,5,14,20.0,24,28.0,570,808.0
117,5,9,14.0,4,24.0,355,570.0
117,5,14,20.0,24,28.0,570,808.0
118,5,9,14.0,4,24.0,355,570.0
118,5,14,20.0,24,28.0,570,808.0
119,5,9,14.0,4,24.0,355,570.0
119,5,14,20.0,24,28.0,570,808.0
120,5,9,14.0,4,24.0,355,570.0
120,5,14,20.0,24,28.0,570,808.0
121,5,9,14.0,4,24.0,355,570.0
121,5,14,20.0,24,28.0,570,808.0
122,5,9,14.0,4,24.0,355,570.0
122,5,14,20.0,24,28.0,570,808.0
125,2,16,23.0,5,35.0,629,932.0
125,2,23,27.0,35,10.0,932,1063.0
125,7,27,28.0,10,10.0,1063,1102.0
125,7,28,29.0,10,10.0,1102,1141.0
125,7,29,30.0,10,10.0,1141,1180.0
125,7,30,31.0,10,10.0,1180,1219.0
125,7,31,32.0,10,10.0,1219,1258.0
125,7,32,33.0,10,10.0,1258,1297.0
125,7,33,34.0,10,10.0,1297,1336.0
125,7,34,35.0,10,10.0,1336,1375.0
125,7,35,36.0,10,10.0,1375,1414.0
125,7,36,37.0,10,10.0,1414,1453.0
125,2,37,40.0,10,36.0,1453,1596.0
125,2,40,45.0,36,1.0,1596,1756.0
126,2,16,23.0,5,35.0,629,932.0
126,2,23,27.0,35,10.0,932,1063.0
126,7,27,28.0,10,10.0,1063,1102.0
126,7,28,29.0,10,10.0,1102,1141.0
126,7,29,30.0,10,10.0,1141,1180.0
126,7,30,31.0,10,10.0,1180,1219.0
126,7,31,32.0,10,10.0,1219,1258.0
126,7,32,33.0,10,10.0,1258,1297.0
126,7,33,34.0,10,10.0,1297,1336.0
126,7,34,35.0,10,10.0,1336,1375.0
126,7,35,36.0,10,10.0,1375,1414.0
126,7,36,37.0,10,10.0,1414,1453.0
126,2,37,40.0,10,36.0,1453,1596.0
126,2,40,45.0,36,1.0,1596,1756.0
127,2,16,23.0,5,35.0,629,932.0
127,2,23,27.0,35,10.0,932,1063.0
127,7,27,28.0,10,10.0,1063,1102.0
127,7,28,29.0,10,10.0,1102,1141.0
127,7,29,30.0,10,10.0,1141,1180.0
127,7,30,31.0,10,10.0,1180,1219.0
