r,d
33,0
105,0
106,0
107,0
170,0
622,0
623,0
640,0
171,1
172,1
5,2
6,2
30,2
31,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
104,2
125,2
126,2
127,2
128,2
129,2
130,2
151,2
152,2
153,2
154,2
156,2
157,2
159,2
160,2
161,2
176,2
594,2
615,2
671,2
672,2
673,2
674,2
717,2
357,3
358,3
359,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
463,3
464,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,3
577,3
668,3
669,3
670,3
37,4
38,4
137,4
140,4
176,4
612,4
613,4
614,4
615,4
622,4
623,4
686,4
688,4
689,4
705,4
735,4
736,4
737,4
738,4
739,4
740,4
741,4
0,5
1,5
2,5
3,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
170,5
173,5
174,5
175,5
208,5
209,5
210,5
638,5
639,5
642,5
0,6
1,6
2,6
3,6
4,6
5,6
6,6
15,6
16,6
101,6
208,6
209,6
210,6
214,6
215,6
656,6
Matching Rate: 0.1843501326259947
