r,d,t1,t2,s1,s2,n1,n2
5,3,16,24,0,25,624,961
5,3,24,30,25,6,961,1176
6,3,16,24,0,25,624,961
6,3,24,30,25,6,961,1176
15,3,52,64,0,31,2028,2527
15,3,64,68,31,20,2527,2672
21,3,52,64,0,31,2028,2527
30,2,45,49,1,4,1756,1915
30,2,49,54,4,6,1915,2112
31,2,45,49,1,4,1756,1915
31,2,49,54,4,6,1915,2112
33,0,17,22,1,24,664,882
42,2,32,37,2,10,1250,1453
42,2,37,40,10,36,1453,1596
42,2,40,45,36,1,1596,1756
42,2,45,49,1,4,1756,1915
42,2,49,54,4,6,1915,2112
43,2,32,37,2,10,1250,1453
43,2,37,40,10,36,1453,1596
43,2,40,45,36,1,1596,1756
43,2,45,49,1,4,1756,1915
43,2,49,54,4,6,1915,2112
44,2,32,37,2,10,1250,1453
44,2,37,40,10,36,1453,1596
44,2,40,45,36,1,1596,1756
44,2,45,49,1,4,1756,1915
44,2,49,54,4,6,1915,2112
45,2,32,37,2,10,1250,1453
45,2,37,40,10,36,1453,1596
45,2,40,45,36,1,1596,1756
45,2,45,49,1,4,1756,1915
45,2,49,54,4,6,1915,2112
46,2,32,37,2,10,1250,1453
46,2,37,40,10,36,1453,1596
46,2,40,45,36,1,1596,1756
46,2,45,49,1,4,1756,1915
46,2,49,54,4,6,1915,2112
47,2,32,37,2,10,1250,1453
47,2,37,40,10,36,1453,1596
47,2,40,45,36,1,1596,1756
47,2,45,49,1,4,1756,1915
47,2,49,54,4,6,1915,2112
48,2,32,37,2,10,1250,1453
48,2,37,40,10,36,1453,1596
48,2,40,45,36,1,1596,1756
48,2,45,49,1,4,1756,1915
48,2,49,54,4,6,1915,2112
49,2,32,37,2,10,1250,1453
49,2,37,40,10,36,1453,1596
49,2,40,45,36,1,1596,1756
49,2,45,49,1,4,1756,1915
49,2,49,54,4,6,1915,2112
50,2,32,37,2,10,1250,1453
50,2,37,40,10,36,1453,1596
50,2,40,45,36,1,1596,1756
50,2,45,49,1,4,1756,1915
50,2,49,54,4,6,1915,2112
51,2,32,37,2,10,1250,1453
51,2,37,40,10,36,1453,1596
51,2,40,45,36,1,1596,1756
51,2,45,49,1,4,1756,1915
51,2,49,54,4,6,1915,2112
104,2,49,54,4,6,1915,2112
105,4,33,40,4,20,1291,1580
106,4,11,16,4,24,433,648
107,1,13,17,4,1,511,664
107,1,17,22,1,24,664,882
108,4,11,16,4,24,433,648
108,4,16,22,24,28,648,886
109,4,11,16,4,24,433,648
109,4,16,22,24,28,648,886
110,4,11,16,4,24,433,648
110,4,16,22,24,28,648,886
111,4,11,16,4,24,433,648
111,4,16,22,24,28,648,886
112,4,11,16,4,24,433,648
112,4,16,22,24,28,648,886
113,4,11,16,4,24,433,648
113,4,16,22,24,28,648,886
114,4,11,16,4,24,433,648
114,4,16,22,24,28,648,886
115,4,11,16,4,24,433,648
115,4,16,22,24,28,648,886
116,4,11,16,4,24,433,648
116,4,16,22,24,28,648,886
117,4,11,16,4,24,433,648
117,4,16,22,24,28,648,886
118,4,11,16,4,24,433,648
118,4,16,22,24,28,648,886
119,4,11,16,4,24,433,648
119,4,16,22,24,28,648,886
120,4,11,16,4,24,433,648
120,4,16,22,24,28,648,886
121,4,11,16,4,24,433,648
121,4,16,22,24,28,648,886
122,4,11,16,4,24,433,648
122,4,16,22,24,28,648,886
128,2,16,23,5,35,629,932
128,2,23,27,35,10,932,1063
128,2,27,32,10,2,1063,1250
129,2,16,23,5,35,629,932
129,2,23,27,35,10,932,1063
129,2,27,32,10,2,1063,1250
151,2,0,4,6,20,6,176
151,2,4,9,20,30,176,381
151,2,9,16,30,5,381,629
151,2,16,23,5,35,629,932
151,2,23,27,35,10,932,1063
151,2,27,32,10,2,1063,1250
152,2,0,4,6,20,6,176
152,2,4,9,20,30,176,381
152,2,9,16,30,5,381,629
152,2,16,23,5,35,629,932
152,2,23,27,35,10,932,1063
152,2,27,32,10,2,1063,1250
153,2,0,4,6,20,6,176
153,2,4,9,20,30,176,381
153,2,9,16,30,5,381,629
153,2,16,23,5,35,629,932
153,2,23,27,35,10,932,1063
153,2,27,32,10,2,1063,1250
154,2,0,4,6,20,6,176
154,2,4,9,20,30,176,381
154,2,9,16,30,5,381,629
154,2,16,23,5,35,629,932
154,2,23,27,35,10,932,1063
154,2,27,32,10,2,1063,1250
155,2,0,4,6,20,6,176
155,2,4,9,20,30,176,381
155,2,9,16,30,5,381,629
155,2,16,23,5,35,629,932
155,2,23,27,35,10,932,1063
155,2,27,32,10,2,1063,1250
156,2,0,4,6,20,6,176
156,2,4,9,20,30,176,381
156,2,9,16,30,5,381,629
156,2,16,23,5,35,629,932
156,2,23,27,35,10,932,1063
156,2,27,32,10,2,1063,1250
157,2,0,4,6,20,6,176
157,2,4,9,20,30,176,381
157,2,9,16,30,5,381,629
157,2,16,23,5,35,629,932
157,2,23,27,35,10,932,1063
157,2,27,32,10,2,1063,1250
158,2,0,4,6,20,6,176
158,2,4,9,20,30,176,381
158,2,9,16,30,5,381,629
158,2,16,23,5,35,629,932
158,2,23,27,35,10,932,1063
158,2,27,32,10,2,1063,1250
159,2,0,4,6,20,6,176
159,2,4,9,20,30,176,381
159,2,9,16,30,5,381,629
159,2,16,23,5,35,629,932
159,2,23,27,35,10,932,1063
159,2,27,32,10,2,1063,1250
160,2,0,4,6,20,6,176
160,2,4,9,20,30,176,381
160,2,9,16,30,5,381,629
160,2,16,23,5,35,629,932
160,2,23,27,35,10,932,1063
160,2,27,32,10,2,1063,1250
161,2,0,4,6,20,6,176
161,2,4,9,20,30,176,381
161,2,9,16,30,5,381,629
161,2,16,23,5,35,629,932
161,2,23,27,35,10,932,1063
161,2,27,32,10,2,1063,1250
171,1,4,8,6,23,162,335
171,1,8,13,23,4,335,511
171,1,13,17,4,1,511,664
171,1,17,22,1,24,664,882
172,1,4,8,6,23,162,335
172,1,8,13,23,4,335,511
172,1,13,17,4,1,511,664
172,1,17,22,1,24,664,882
593,2,4,9,20,30,176,381
621,4,7,11,21,4,294,433
621,5,11,12,4,4,433,472
621,5,12,13,4,4,472,511
621,1,13,17,4,1,511,664
621,1,17,22,1,24,664,882
621,1,22,26,24,23,882,1037
622,4,7,11,21,4,294,433
622,5,11,12,4,4,433,472
622,5,12,13,4,4,472,511
622,1,13,17,4,1,511,664
622,1,17,22,1,24,664,882
628,4,7,11,21,4,294,433
