t1,t2,s1,s2,n1,n2
0,4.0,20,6.0,20,162.0
4,9.0,6,4.0,162,355.0
9,14.0,4,24.0,355,570.0
14,18.0,24,23.0,570,725.0
18,21.0,23,8.0,725,827.0
21,26.0,8,24.0,827,1038.0
26,31.0,24,1.0,1038,1210.0
31,34.0,1,21.0,1210,1347.0
34,40.0,21,20.0,1347,1580.0
40,44.0,20,6.0,1580,1722.0
44,49.0,6,4.0,1722,1915.0
49,54.0,4,24.0,1915,2130.0
54,58.0,24,23.0,2130,2285.0
58,61.0,23,8.0,2285,2387.0
61,66.0,8,24.0,2387,2598.0
66,71.0,24,1.0,2598,2770.0
71,74.0,1,21.0,2770,2907.0
74,80.0,21,20.0,2907,3140.0
80,84.0,20,6.0,3140,3282.0
84,89.0,6,4.0,3282,3475.0
89,94.0,4,24.0,3475,3690.0
94,98.0,24,23.0,3690,3845.0
98,101.0,23,8.0,3845,3947.0
101,106.0,8,24.0,3947,4158.0
106,111.0,24,1.0,4158,4330.0
111,114.0,1,21.0,4330,4467.0
114,120.0,21,20.0,4467,4700.0
120,124.0,20,6.0,4700,4842.0
124,129.0,6,4.0,4842,5035.0
129,134.0,4,24.0,5035,5250.0
134,138.0,24,23.0,5250,5405.0
138,141.0,23,8.0,5405,5507.0
141,146.0,8,24.0,5507,5718.0
146,151.0,24,1.0,5718,5890.0
151,154.0,1,21.0,5890,6027.0
154,160.0,21,20.0,6027,6260.0
